temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_msl,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth,wind_u_10_m_above_gnd,wind_v_10_m_above_gnd,wind_u_80_m_above_gnd,wind_v_80_m_above_gnd,wind_u_900_mb,wind_v_900_mb,hour_sin,hour_cos,month_sin,month_cos
2.4,94.0,1004.5,0.09,0.0,94.0,24.0,33.0,38.0,0.0,20.6,90,90,112.9,-5.28,2.87,-6.28,3.72,-9.05,5.42,0.0,1.0,-0.0,1.0
2.3,92.0,1001.1,0.28,0.0,82.0,20.0,29.0,33.0,0.0,21.0,90,90,119.4,-3.57,2.28,-6.72,3.9,-8.56,5.57,0.2588,0.9659,-0.0,1.0
1.6,94.0,1001.7,0.17,0.0,97.0,24.0,34.0,39.0,0.0,20.6,90,90,117.7,-4.63,2.73,-7.37,4.11,-9.97,5.27,0.5,0.866,-0.0,1.0
1.8,93.0,1001.0,0.09,0.0,97.0,24.0,34.0,39.0,0.0,22.2,90,90,129.6,-4.02,2.67,-7.27,3.57,-9.51,5.16,0.7071,0.7071,-0.0,1.0
2.3,93.0,1002.2,0.18,0.0,84.0,21.0,29.0,34.0,0.0,21.5,90,90,132.2,-4.91,2.13,-7.16,4.44,-9.47,6.31,0.866,0.5,-0.0,1.0
1.8,93.0,1001.0,0.05,0.0,84.0,21.0,29.0,33.0,0.0,22.5,90,90,140.5,-4.57,2.44,-7.57,3.97,-8.8,6.09,0.9659,0.2588,-0.0,1.0
1.6,93.0,1003.5,0.02,0.0,85.0,21.0,30.0,34.0,36.7,23.5,90,90,146.5,-5.05,2.2,-7.95,3.74,-10.07,6.2,1.0,0.0,-0.0,1.0
1.9,93.0,1001.8,0.29,0.0,92.0,23.0,32.0,37.0,36.1,20.5,90,90,152.2,-5.49,2.75,-6.46,3.61,-10.22,4.85,0.9659,-0.2588,-0.0,1.0
4.0,88.0,1002.0,0.15,0.0,95.0,24.0,33.0,38.0,43.6,23.8,87.6,82.6,158.1,-3.52,2.6,-6.1,4.39,-9.66,5.94,0.866,-0.5,-0.0,1.0
5.1,89.0,1004.6,0.09,0.0,93.0,23.0,33.0,37.0,57.7,20.6,78.1,73.1,159.7,-4.22,2.77,-6.96,4.13,-10.68,4.65,0.7071,-0.7071,-0.0,1.0
5.3,87.0,1003.2,0.27,0.0,81.0,20.0,28.0,32.0,80.2,23.2,70.9,65.9,170.1,-5.37,2.41,-6.91,3.92,-10.88,5.34,0.5,-0.866,-0.0,1.0
6.2,87.0,1004.4,0.18,0.0,93.0,23.0,33.0,37.0,64.7,19.0,66.5,61.5,172.3,-3.99,2.85,-6.09,3.92,-9.26,5.59,0.2588,-0.9659,-0.0,1.0
6.3,85.0,1002.7,0.17,0.0,79.0,20.0,28.0,31.0,97.4,23.1,65.0,60.0,178.6,-5.17,2.47,-7.74,4.12,-11.42,5.29,0.0,-1.0,-0.0,1.0
6.4,86.0,1001.5,0.02,0.0,87.0,22.0,31.0,35.0,64.9,21.3,66.5,61.5,182.5,-4.85,2.76,-7.24,4.25,-9.0,5.0,-0.2588,-0.9659,-0.0,1.0
6.5,85.0,1005.0,0.2,0.0,85.0,21.0,30.0,34.0,88.3,23.7,70.9,65.9,192.7,-3.99,2.95,-7.6,3.52,-11.04,4.75,-0.5,-0.866,-0.0,1.0
7.0,84.0,1003.8,0.2,0.0,93.0,23.0,33.0,37.0,44.6,22.6,78.1,73.1,199.5,-5.27,2.82,-6.07,3.61,-11.42,5.12,-0.7071,-0.7071,-0.0,1.0
7.1,85.0,1003.9,0.1,0.0,80.0,20.0,28.0,32.0,76.2,22.8,87.6,82.6,198.8,-3.96,2.85,-6.8,3.62,-8.55,6.07,-0.866,-0.5,-0.0,1.0
6.0,86.0,1003.0,0.29,0.0,85.0,21.0,30.0,34.0,58.1,23.9,90,90,204.7,-3.58,2.64,-6.34,4.21,-10.19,5.97,-0.9659,-0.2588,-0.0,1.0
5.3,89.0,1003.2,0.18,0.0,88.0,22.0,31.0,35.0,19.6,23.4,90,90,212.1,-3.8,2.83,-7.83,4.38,-10.77,5.43,-1.0,-0.0,-0.0,1.0
4.7,87.0,1004.4,0.22,0.0,82.0,20.0,29.0,33.0,0.0,23.8,90,90,218.6,-3.74,2.7,-7.45,3.51,-8.66,4.67,-0.9659,0.2588,-0.0,1.0
4.0,91.0,1003.8,0.16,0.0,91.0,23.0,32.0,36.0,0.0,21.9,90,90,228.9,-5.31,2.22,-6.62,3.81,-9.76,5.45,-0.866,0.5,-0.0,1.0
1.9,93.0,1002.3,0.06,0.0,92.0,23.0,32.0,37.0,0.0,20.6,90,90,229.3,-5.26,2.19,-7.76,4.04,-9.21,4.87,-0.7071,0.7071,-0.0,1.0
2.0,93.0,1004.9,0.29,0.0,88.0,22.0,31.0,35.0,0.0,20.7,90,90,233.6,-5.11,2.23,-7.64,3.51,-9.9,5.05,-0.5,0.866,-0.0,1.0
2.1,93.0,1001.5,0.14,0.0,95.0,24.0,33.0,38.0,0.0,21.9,90,90,247.1,-4.35,2.47,-7.12,3.68,-11.35,6.38,-0.2588,0.9659,-0.0,1.0
