temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_msl,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth,wind_u_10_m_above_gnd,wind_v_10_m_above_gnd,wind_u_80_m_above_gnd,wind_v_80_m_above_gnd,wind_u_900_mb,wind_v_900_mb,hour_sin,hour_cos,month_sin,month_cos
22.3,57.0,1015.6,0.0,0.0,8.0,3.0,3.0,3.0,0.0,12.9,81.8,90,93.9,3.09,-1.55,4.53,-2.37,7.51,-3.97,0.0,1.0,-0.5,-0.866
21.4,61.0,1016.1,0.0,0.0,8.0,2.0,2.0,3.0,0.0,12.4,83.1,90,92.6,3.81,-1.38,4.84,-2.41,8.41,-3.66,0.2588,0.9659,-0.5,-0.866
21.2,58.0,1016.7,0.0,0.0,14.0,4.0,4.0,6.0,0.0,13.2,82.3,90,105.4,3.97,-1.57,5.05,-2.0,7.74,-3.14,0.5,0.866,-0.5,-0.866
22.2,61.0,1015.1,0.0,0.0,8.0,3.0,3.0,3.0,0.0,11.2,75.8,90,109.8,3.1,-1.63,5.14,-2.28,7.24,-3.79,0.7071,0.7071,-0.5,-0.866
21.5,63.0,1016.3,0.0,0.0,14.0,4.0,4.0,6.0,0.0,10.7,82.3,90,116.6,3.38,-1.21,5.14,-2.17,7.87,-3.16,0.866,0.5,-0.5,-0.866
22.6,58.0,1015.1,0.0,0.0,10.0,3.0,3.0,4.0,0.0,10.8,84.4,90.0,131.3,3.31,-1.41,4.9,-1.95,7.42,-3.74,0.9659,0.2588,-0.5,-0.866
27.7,55.0,1015.5,0.0,0.0,14.0,4.0,4.0,6.0,263.8,11.6,63.8,76.6,140.0,3.51,-1.75,4.55,-2.43,7.75,-3.21,1.0,0.0,-0.5,-0.866
29.7,48.0,1015.8,0.0,0.0,20.0,6.0,6.0,8.0,433.4,13.9,57.6,64.0,137.6,3.72,-1.39,5.04,-2.34,7.78,-3.89,0.9659,-0.2588,-0.5,-0.866
31.4,46.0,1016.9,0.0,0.0,18.0,5.0,5.0,7.0,595.1,12.0,39.4,52.6,154.1,3.87,-1.62,5.14,-2.13,6.81,-3.24,0.866,-0.5,-0.5,-0.866
33.0,44.0,1016.1,0.0,0.0,5.0,2.0,2.0,2.0,815.8,10.1,37.4,43.1,161.3,3.83,-1.62,4.56,-1.97,8.39,-3.91,0.7071,-0.7071,-0.5,-0.866
34.2,37.0,1016.5,0.0,0.0,16.0,5.0,5.0,7.0,822.2,11.9,26.4,35.9,162.7,3.87,-1.55,4.71,-2.18,7.96,-3.8,0.5,-0.866,-0.5,-0.866
35.0,40.0,1016.3,0.0,0.0,12.0,3.0,3.0,5.0,934.1,10.5,18.7,31.5,170.9,3.59,-1.66,4.72,-2.46,7.76,-3.77,0.2588,-0.9659,-0.5,-0.866
36.2,38.0,1015.1,0.0,0.0,9.0,3.0,3.0,3.0,984.8,10.9,16.3,30.0,184.4,3.57,-1.52,5.28,-2.02,6.88,-3.9,0.0,-1.0,-0.5,-0.866
35.9,35.0,1015.9,0.0,0.0,16.0,5.0,5.0,6.0,904.4,13.9,17.5,31.5,186.5,3.34,-1.28,4.75,-2.39,7.4,-3.58,-0.2588,-0.9659,-0.5,-0.866
35.6,34.0,1016.8,0.0,0.0,12.0,3.0,3.0,5.0,888.9,12.2,21.4,35.9,200.0,3.84,-1.22,5.43,-1.99,6.83,-3.51,-0.5,-0.866,-0.5,-0.866
34.9,36.0,1015.1,0.0,0.0,11.0,3.0,3.0,4.0,803.3,11.1,35.9,43.1,202.1,3.42,-1.23,5.5,-2.17,7.94,-3.85,-0.7071,-0.7071,-0.5,-0.866
34.1,42.0,1016.2,0.0,0.0,13.0,4.0,4.0,5.0,642.8,10.2,43.4,52.6,210.0,3.85,-1.71,5.46,-2.45,6.87,-3.4,-0.866,-0.5,-0.5,-0.866
33.2,41.0,1015.2,0.0,0.0,18.0,6.0,6.0,7.0,428.6,12.4,55.2,64.0,216.7,3.58,-1.49,5.43,-2.38,7.93,-3.76,-0.9659,-0.2588,-0.5,-0.866
31.4,47.0,1015.6,0.0,0.0,10.0,3.0,3.0,4.0,266.9,10.3,66.2,76.6,230.0,4.0,-1.76,4.71,-2.34,8.37,-3.12,-1.0,-0.0,-0.5,-0.866
30.2,50.0,1015.3,0.0,0.0,18.0,5.0,5.0,7.0,8.1,12.4,84.9,90.0,234.0,3.01,-1.31,4.8,-2.1,8.38,-3.87,-0.9659,0.2588,-0.5,-0.866
27.6,53.0,1016.1,0.0,0.0,9.0,3.0,3.0,4.0,0.0,12.4,82.2,90,237.0,3.63,-1.64,4.99,-1.96,8.19,-3.91,-0.866,0.5,-0.5,-0.866
21.8,59.0,1015.0,0.0,0.0,17.0,5.0,5.0,7.0,0.0,12.5,77.6,90,249.9,3.55,-1.54,4.51,-2.45,8.27,-3.1,-0.7071,0.7071,-0.5,-0.866
22.1,62.0,1016.2,0.0,0.0,7.0,2.0,2.0,3.0,0.0,10.5,78.1,90,259.0,3.8,-1.28,5.4,-2.37,7.0,-3.9,-0.5,0.866,-0.5,-0.866
22.6,62.0,1015.8,0.0,0.0,14.0,4.0,4.0,6.0,0.0,10.6,84.3,90,266.1,3.98,-1.31,5.38,-2.49,7.97,-3.67,-0.2588,0.9659,-0.5,-0.866
